"episode","comment_txt","username","likes","reply"
"Heck of a Start","i love hamilton reference!","sub<U+270C>pewds","122",FALSE
"Heck of a Start","omg is that a-aron burr","saphirefan666","91",FALSE
"Heck of a Start","sIR!","The UnWanted fan","2",TRUE
"Heck of a Start","“I didn’t know that you would make it!”","SpaceMouse ","0",TRUE
"Heck of a Start","Hamilton :^))","swirlixpuff","81",FALSE
"Heck of a Start","*reads Hamilton referenceme: I CAME AS SOON AS I HEARD","Rusca's Ensaymada!!!","1",FALSE
"Heck of a Start","Pardon me are you aaron burr sir","jdjrbrkf","1",FALSE
"Heck of a Start","IMMA GET A SCHOLARSHIP TO KINGS COLLEGE, I PROBABLY SHOULDNT BRAG BUT DAG I AMAZE AND ASTONISH","VICTUURI|OTAYURI","1",FALSE
"Heck of a Start","My Shot just started to play!","WaNaBePrETty","1",FALSE
"Heck of a Start","I CAUGHT THAT HAMILTON YOU THREW, CUZ I'M NONSTOP HAMILTON!!!","FluffyBottom101","2",FALSE
"Heck of a Start","Incredibly confused, but I'll try and give the rest of it a shot.","RogueSavage8","3",FALSE
"Heck of a Start","Someone wants to explain to me why a 5/10* comic is featured on the main page of webtoons and how it came to that rating?","LaNoir","4",FALSE
"Heck of a Start","What really needs explaining is why such a necessary and well executed comic has such a low rating. ","Shai Watermelon","0",TRUE
"Heck of a Start","IS THAT A HAMILTON REFERENCE I SMELL","SherniKaur","1",FALSE
"Heck of a Start","Was that a Hamilton bit right there?!? ","Weirdo223","11",FALSE
"Heck of a Start","understood nothing :(","Clemarix Cassidy Elisa","7",FALSE
"Heck of a Start","Shit, thought i was the only one.","RogueSavage8","0",TRUE
"Heck of a Start","thank goodness im not the only one","linahxx","0",TRUE
"Heck of a Start","the reference or the comic in general?","VICTUURI|OTAYURI","0",TRUE
"Heck of a Start","I can already tell this is an amazing comic, like Rent and How to Survive a Plague mixed but with a little more humor and smiles","KeïthKøganeËmøTea","8",FALSE
"Heck of a Start","WHERE NOT GONNA PAY LAST YEARS THIS YEARS NEXT YEARS RENTV","48%webtoon43%MTTrash","1",TRUE
"Heck of a Start","Hopefully the story has a message behind dugs","mastereader9 ","7",FALSE
"Heck of a Start","Gays ain’t tidy because we’re born that way PREACH","gilleanfryingpan","7",FALSE
"Heck of a Start","“Y’all got any aspirin?” “Just weed” BIG MOOD","gilleanfryingpan","16",FALSE
"Heck of a Start","Ur mom :3","mocking.j.æ_","3",FALSE
"Uh oh","I'm confused... I don't understand the sequence huhu sorry","Sheila27","13",FALSE
"Uh oh","This story is all over the damn place. & I'm really trying to get it, but I just don't.","RogueSavage8","16",FALSE
"Uh oh","So, yeah, written too fragment...","LaNoir","10",FALSE
"Uh oh","Hmmmmm dang","Bluebell Angel","1",FALSE
"Uh oh","Ayyy that’s my subway! The A at 168 ","Elana Weber","3",FALSE
"Uh oh","“Lady-boy” BOI YOU JUST JEALOUS YOU AREN’T AS FAB","gilleanfryingpan","17",FALSE
"Flash Back ","Uh,,,,, wHAT","Rusca's Ensaymada!!!","0",FALSE
"Flash Back ","Um..what in the world?","RogueSavage8","3",FALSE
"Flash Back ","honestly tho thats messed up ti say to your older brother who is letting you stay at his place","Random-_-Name","9",FALSE
"Flash Back ","what.... happened.... ?","crunchy_tomato_soup","6",FALSE
"Flash Back ","I feel like he had sex for money","Steph_Mess","1",TRUE
"Flash Back ","he needed to eat :/ EBT is a welfare card for food only. It's not a cash card. ","CopperMortar","1",TRUE
"Flash Back ","That’s so sad.... ;;","<U+2744><U+FE0F>shellecat<U+0001F63C>","12",FALSE
"Flash Back ","harsh","catberra","11",FALSE
"Flash Back ","Shots fIRED","gilleanfryingpan","11",FALSE
"Work It Out","was that... a doctor who reference? \"not if I see you first\" omg","desila.s67","1",FALSE
"Work It Out","that is one polit dealer","Angie-O","1",FALSE
"Work It Out","Wait, the trainer is positive and might have infected his ex and a child? His ass needs to be in jail ","Talsong Kingslayer","4",FALSE
"Work It Out","I'm so confused not gonna lie.","SadSoulInTheDark","9",FALSE
"Work It Out","I been confused from the get-go tbh","RogueSavage8","1",TRUE
"Work It Out","The worst thing you can do is not telling people you are positive. His ex and daughter could have it too and spread it because he didn't tell them. Don't know how this is handled in America, but in Germany that's bodily injury and will bring you some years in prison.","LaNoir","7",FALSE
"Work It Out","It's pretty much the same in America. There's a story about a man who passed on an STD to over 15 woman and he was sued and sent to jail because he told any of them. ","Jaine","5",TRUE
"Work It Out","It's considered assault with a deadly weapon in almost all states, except batshit crazy California. ","Talsong Kingslayer","2",TRUE
"Work It Out","Wait, seriously?","Imama Reza","1",TRUE
"Work It Out","I feel like this series is gonna make me cry my eyes out. `¬` help","ChickenNuggetMan","3",FALSE
"Work It Out","I sense a ship","<U+2665><U+FE0F><U+2744><U+0001F49A><U+0001F338><U+0001F49A><U+0001F349><U+0001F49A><U+26BD><U+FE0F><U+0001F49A><U+0001F424>","1",FALSE
"Work It Out","not the time man","VICTUURI|OTAYURI","1",TRUE
"Work It Out","group as in support group","catberra","8",FALSE
"Work It Out","Hawt","gilleanfryingpan","1",FALSE
"Doctor Visit","What does that mean ","Rusca's Ensaymada!!!","0",FALSE
"Doctor Visit","HES IN HAMILTON ","48%webtoon43%MTTrash","1",FALSE
"Doctor Visit","I am so confused","Yoko Arai","0",FALSE
"Doctor Visit","“Protection”  “Sometimes” This shit makes me want to die a Virgin... although I wouldn’t be dumb enough not to use protection every time.","Honin Akecheta","9",FALSE
"Doctor Visit","omg, if this is a true story im gonna cry.","sergeantkero","10",FALSE
"Doctor Visit","Even if this isn't, I bet something like this happens all the time. It's scary to me.","Lily23","5",TRUE
"Doctor Visit","What does detectable mean","<U+0001D49C><U+0001D4CE> <U+2727>","1",TRUE
"Doctor Visit","i think it means that the std or sti (sexually transmitted disease/illness) is found in the blood, its \"detected\" in the blood stream showing that the person is infected?????","sergeantkero","0",TRUE
"Doctor Visit","Ooooooof","gilleanfryingpan","12",FALSE
"Doctor Visit","looks like it's just me and you","Jasmine Groves","1",TRUE
"Doctor Visit","I'm here","LyricaTheDeer","0",TRUE
"Doctor Visit","Me tooo","MustachioPistachio","0",TRUE
"Doctor Visit","Me too!","Seramoon","0",TRUE
"Doctor Visit","met too!","<U+0001F5A4>teasipper<U+0001F5A4>","0",TRUE
"Doctor Visit","Hello.","thriveorfall","0",TRUE
"Brunchy Brunch","wait what...... what kinda crazy person just goes: HEY LET'S RAISE OUR FRIEND'S BROTHER!! WHEEE!!","happycat(:","47",FALSE
"Brunchy Brunch","Not even that, he legit just said let’s raise a young black orphan! Why??? <U+2640><U+FE0F><U+2640><U+FE0F>","RedtheGreyFox","0",TRUE
"Brunchy Brunch","There will be no hood-rat code-switching to improper English at brunch, young lady. Sounds like my dad.","gilleanfryingpan","42",FALSE
"Brunchy Brunch","WE CAN BLOG ABOUT IT.  <U+0CA0>_<U+0CA0> Does this sound normal to you..?","gilleanfryingpan","33",FALSE
"Brunchy Brunch","nope","catberra","5",TRUE
"Brunchy Brunch","Sounds about right especially in 2018","Tyrkie","3",TRUE
"Brunchy Brunch","I like the general plot of this story, but the chapters are too short and end abruptly.","Lindsay Stevens","1",FALSE
"Brunchy Brunch","aNd PeGgy","WinterRose23","0",FALSE
"Brunchy Brunch","that code switch comment rub me the wrong way. American \"proper\" english can kiss my behind ","KAJ_","1",FALSE
"Brunchy Brunch","I love his friends","awesomealex134","2",FALSE
"Brunchy Brunch","AND PEGGY","I Hate Mondayz","1",FALSE
"Brunchy Brunch","my name is angelica and I'll be honest I can't even enjoy Hamilton anymore ","Angie-O","0",TRUE
"Brunchy Brunch","Ugh, this is exhausting & I'm Beyond confused. At least i can say that i gave it a shot. I give the rest of you props for being able to follow the story.","RogueSavage8","6",FALSE
"Brunchy Brunch","Stay with us. It picks up in the next couple episodes.","TESTED @YGetIt on IG","2",TRUE
"Brunchy Brunch","I might try again, see if I can better understand.","RogueSavage8","4",TRUE
"Brunchy Brunch","I feel you man. The concept seemed cool, but I have no idea what’s going on in this story ","Via <U+2665><U+FE0E>","3",TRUE
"Brunchy Brunch","Yea, too scattered every which way.","RogueSavage8","3",TRUE
"Brunchy Brunch","Rich has six fingers?","Pomegranate Child","8",FALSE
"Brunchy Brunch","Huh? Where? ","AoiYeyi","0",TRUE
"Brunchy Brunch","AWWWW PEGGYS HERE","Astro Nova","7",FALSE
"Brunchy Brunch","but I thought prep doesn't prevent hiv?","Danesha Allen","5",FALSE
"Brunchy Brunch","It doesn't provide 100% protection but it does help prevent it. You still have to be careful and preferably use a condom","AllanoCaoimhe","6",TRUE
"Rough Start","Damn, his mom and ex-foster parents suck ass ","Lindsay Stevens","1",FALSE
"Rough Start","And this is why I will die in the closet ","CopperMortar","2",FALSE
"Rough Start","what is the HAMILTON?","Sheila27","1",FALSE
"Rough Start","A popular Broadway musical.","CopperMortar","1",TRUE
"Rough Start","I also want to watch Hamilton.","Hannah Joy Galve","7",FALSE
"Rough Start","Sad","catberra","6",FALSE
"Rough Start","CAN I GET FREE TIX TO HAMILTON?!?!?!","gilleanfryingpan","10",FALSE
