"episode_num","episode","comment_txt","username","likes","reply","likes_per_ep"
"#1","Heck of a Start","i love hamilton reference!","sub<U+270C>pewds","125",FALSE,"540"
"#1","Heck of a Start","omg is that a-aron burr","saphirefan666","93",FALSE,"540"
"#1","Heck of a Start","sIR!","The UnWanted fan","2",TRUE,"540"
"#1","Heck of a Start","“I didn’t know that you would make it!”","SpaceMouse ","0",TRUE,"540"
"#1","Heck of a Start","Hamilton :^))","swirlixpuff","82",FALSE,"540"
"#1","Heck of a Start","*reads Hamilton referenceme: I CAME AS SOON AS I HEARD","Katalista","1",FALSE,"540"
"#1","Heck of a Start","Pardon me are you aaron burr sir","jdjrbrkf","1",FALSE,"540"
"#1","Heck of a Start","IMMA GET A SCHOLARSHIP TO KINGS COLLEGE, I PROBABLY SHOULDNT BRAG BUT DAG I AMAZE AND ASTONISH","VICTUURI|OTAYURI","1",FALSE,"540"
"#1","Heck of a Start","My Shot just started to play!","WaNaBePrETty","1",FALSE,"540"
"#1","Heck of a Start","I CAUGHT THAT HAMILTON YOU THREW, CUZ I'M NONSTOP HAMILTON!!!","FluffyBottom101","2",FALSE,"540"
"#1","Heck of a Start","Incredibly confused, but I'll try and give the rest of it a shot.","RogueSavage8","3",FALSE,"540"
"#1","Heck of a Start","Someone wants to explain to me why a 5/10* comic is featured on the main page of webtoons and how it came to that rating?","LaNoir","4",FALSE,"540"
"#1","Heck of a Start","What really needs explaining is why such a necessary and well executed comic has such a low rating. ","Shai Watermelon","0",TRUE,"540"
"#1","Heck of a Start","IS THAT A HAMILTON REFERENCE I SMELL","SherniKaur","1",FALSE,"540"
"#1","Heck of a Start","Was that a Hamilton bit right there?!? ","Weirdo223","11",FALSE,"540"
"#1","Heck of a Start","understood nothing :(","Clemarix Cassidy Elisa","7",FALSE,"540"
"#1","Heck of a Start","Shit, thought i was the only one.","RogueSavage8","0",TRUE,"540"
"#1","Heck of a Start","thank goodness im not the only one","linahxx","0",TRUE,"540"
"#1","Heck of a Start","the reference or the comic in general?","VICTUURI|OTAYURI","0",TRUE,"540"
"#1","Heck of a Start","I can already tell this is an amazing comic, like Rent and How to Survive a Plague mixed but with a little more humor and smiles","KeïthKøganeËmøTea","9",FALSE,"540"
"#1","Heck of a Start","WHERE NOT GONNA PAY LAST YEARS THIS YEARS NEXT YEARS RENTV","Spice&Sugar ","1",TRUE,"540"
"#1","Heck of a Start","Hopefully the story has a message behind dugs","mastereader9 ","7",FALSE,"540"
"#1","Heck of a Start","Gays ain’t tidy because we’re born that way PREACH","gilleanfryingpan","7",FALSE,"540"
"#1","Heck of a Start","“Y’all got any aspirin?” “Just weed” BIG MOOD","gilleanfryingpan","17",FALSE,"540"
"#2","Uh oh","I'm confused... I don't understand the sequence huhu sorry","Sheila27","15",FALSE,"435"
"#2","Uh oh","This story is all over the damn place. & I'm really trying to get it, but I just don't.","RogueSavage8","17",FALSE,"435"
